Species,Bird_Population_Parameter,Life_Cycle_Phase,Region,PD_Species,Methodology,Variable,Effect Direction,Descriptive only?,Abundance_Change,Abundance_Num,H1 Conclusion,Reference,Ref_Num,,,,,,,,,,,,,,,,,,,,,,,,,,
Rough-legged Hawk,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Sage Thrasher,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative abundance ,birds/km^2,Negative,No,Decrease,-1,,Duchardt et al (2019),49,,,,,,,,,,,,,,,,,,,,,,,,,,
Sage Thrasher,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,Duchardt et al (2018),50,,,,,,,,,,,,,,,,,,,,,,,,,,
Sage Thrasher,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Savannah Sparrow,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Savannah Sparrow,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Savannah Sparrow,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Savannah Sparrow,Occurrence,Non-breeding Season/Adult,CHH (MX),BTPD,Relative abundance,not specified,Not tested,No,NA,0,NA,"Desmond, M",47,,,,,,,,,,,,,,,,,,,,,,,,,,
Say's Phoebe,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Not tested,No,NA,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Say's Phoebe,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaled Quail,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Positive,No,Increase,1,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaled Quail,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaled Quail,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Not tested,No,NA,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Scissor-tailed Flycatcher,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Scissor-tailed Flycatcher,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Neutral,No,Neutral,0,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp-shinned Hawk,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp-tailed Grouse,Occurrence,Year-round/Adult,Regionwide (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Koford,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharp-tailed Grouse,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Neutral,No,Neutral,0,NA,Geaumont et al 2044,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow Bunting,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow Bunting,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow Goose,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Song Sparrow,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotted Towhee,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2045,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotted Towhee,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprague's Pipit,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprague's Pipit,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Swainson's Hawk,Occurrence,Year-round/Adult,Regionwide (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Koford,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Swainson's Hawk,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Swainson's Hawk,Occurrence,Year-round/Adult,CHH (MX),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Manzano-Fischer et al (1999),56,,,,,,,,,,,,,,,,,,,,,,,,,,
Swainson's Hawk,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Swainson's Hawk,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Not tested,No,NA,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Swainson's Hawk,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Neutral,No,Neutral,0,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Thick-billed Longspur,Occurrence,Year-round/Adult,Regionwide (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Koford,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Thick-billed Longspur,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Thick-billed Longspur,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Thick-billed Longspur,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Thick-billed Longspur,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree Swallow,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey Vulture,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey Vulture,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2046,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey Vulture,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Not tested,No,NA,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey Vulture,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Neutral,No,Neutral,0,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Upland Sandpiper,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Species richness,species,Negative,No,Decrease,-1,NA,Agnew et al (1986),43,,,,,,,,,,,,,,,,,,,,,,,,,,
Upland Sandpiper,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Positive,No,Increase,1,Supports,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Upland Sandpiper,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Positive,No,Increase,1,Supports,Geaumont et al 2047,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Upland Sandpiper,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Upland Sandpiper,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Neutral,No,Neutral,0,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesper Sparrow,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesper Sparrow,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,Duchardt et al (2018),50,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesper Sparrow,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesper Sparrow,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesper Sparrow,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesper Sparrow,Occurrence,Year-round/Adult,CHH (MX),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Manzano-Fischer et al (1999),56,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesper Sparrow,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesper Sparrow,Occurrence,Non-breeding Season/Adult,CHH (MX),BTPD,Relative abundance,not specified,Not tested,No,NA,0,NA,"Desmond, M",47,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesper Sparrow,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Neutral,No,Neutral,0,NA,Geaumont et al 2048,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Vesper Sparrow,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Violet-green Swallow,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Western/Eastern Meadowlark,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Positive,No,Increase,1,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Kingbird,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Negative,No,Decrease,-1,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Kingbird,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Kingbird,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Kingbird,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Not tested,No,NA,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Kingbird,Occurrence,Breeding Season/Adult,"KS, CO (USA)",BTPD,Relative abundance ,birds/km,Not tested,No,NA,0,NA,Winter et al (2003),61,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Kingbird,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Neutral,No,Neutral,0,NA,Geaumont et al 2050,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Kingbird,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Meadowlark,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative abundance ,birds/km^2,Negative,No,Decrease,-1,,Duchardt et al (2019),49,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Meadowlark,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,Duchardt et al (2018),50,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Meadowlark,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative abundance,birds/12.6 ha,Negative,No,Decrease,-1,,Duchard et al (2021),51,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Meadowlark,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Meadowlark,Occurrence,Breeding Season/Adult,"KS, CO (USA)",BTPD,Relative abundance ,birds/km,Negative,No,Decrease,-1,NA,Winter et al (2003),61,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Meadowlark,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Meadowlark,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Meadowlark,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Meadowlark,Occurrence,Breeding Season/Adult,CO (USA),BTPD,Relative abundance ,birds/km^2,Positive,No,Increase,1,Supports,Tipon,272,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Meadowlark,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Species richness,species,Neutral,No,Neutral,0,NA,Agnew et al (1986),43,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Meadowlark,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Meadowlark,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Neutral,No,Neutral,0,NA,Geaumont et al 2049,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Meadowlark,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
White-crowned Sparrow,Occurrence,Postbreeding Migration/Adult,OK (USA),BTPD,Relative density,birds/km,Negative,No,Decrease,-1,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
White-crowned Sparrow,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Worthen's Sparrow,Occurrence,Breeding Season/Adult,NLE (MX),MEPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Scott-Morales et al,59,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Warbler,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2051,52,,,,,,,,,,,,,,,,,,,,,,,,,,
